ct_ab_ph_workers_camp;City Worker's Camp;Ville Le Camp Des Travailleurs;Stadt Arbeiterlager;;Campamento De Los Trabajadores Ciudad;;;;;;;;;x
ct_ab_ph_workers_camp_desc;Temporary housing for construction workers working on the city holding.;Logement temporaire pour les travailleurs de la construction travaillant sur le ville tenue.;Vorbergehende Unterbringung fr Bauarbeiter arbeiten an der Stadt Holding.;;Alojamiento temporal para los trabajadores de la construccin que trabajan en el ciudad explotacin.;;;;;;;;;x
ct_ab_ph_alacir_eminence_1;Partially Constructed alacir_eminence_1;Partiellement construit alacir_eminence_1;Partiell Konstruiert alacir_eminence_1;;Parcialmente construida alacir_eminence_1;;;;;;;;;x
ct_ab_ph_alacir_eminence_1_desc;A alacir_eminence_1 is under construction here and will be completed in approximately 1 days.;Un alacir_eminence_1 est en construction ici et sera termin dans environ 1 jours.;Ein alacir_eminence_1 befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A alacir_eminence_1 est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
ct_ab_ph_batin_eminence_1;Partially Constructed batin_eminence_1;Partiellement construit batin_eminence_1;Partiell Konstruiert batin_eminence_1;;Parcialmente construida batin_eminence_1;;;;;;;;;x
ct_ab_ph_batin_eminence_1_desc;A batin_eminence_1 is under construction here and will be completed in approximately 1 days.;Un batin_eminence_1 est en construction ici et sera termin dans environ 1 jours.;Ein batin_eminence_1 befindet sich hier im Aufbau und wird in ca. 1 Tagen abgeschlossen sein.;;A batin_eminence_1 est en construccin aqu y se completar en aproximadamente 1 das.;;;;;;;;;x
ct_ab_ph_ct_abbatoirward_1;Partially Constructed Bribed Drover;Partiellement construit Bribed Drover;Partiell Konstruiert Bribed Drover;;Parcialmente construida Bribed Drover;;;;;;;;;x
ct_ab_ph_ct_abbatoirward_1_desc;A Bribed Drover is under construction here and will be completed in approximately 7 days.;Un Bribed Drover est en construction ici et sera termin dans environ 7 jours.;Ein Bribed Drover befindet sich hier im Aufbau und wird in ca. 7 Tagen abgeschlossen sein.;;A Bribed Drover est en construccin aqu y se completar en aproximadamente 7 das.;;;;;;;;;x
ct_ab_ph_ct_abbatoirward_2;Partially Constructed Influenced Meat Cutter;Partiellement construit Influenced Meat Cutter;Partiell Konstruiert Influenced Meat Cutter;;Parcialmente construida Influenced Meat Cutter;;;;;;;;;x
ct_ab_ph_ct_abbatoirward_2_desc;A Influenced Meat Cutter is under construction here and will be completed in approximately 30 days.;Un Influenced Meat Cutter est en construction ici et sera termin dans environ 30 jours.;Ein Influenced Meat Cutter befindet sich hier im Aufbau und wird in ca. 30 Tagen abgeschlossen sein.;;A Influenced Meat Cutter est en construccin aqu y se completar en aproximadamente 30 das.;;;;;;;;;x
ct_ab_ph_ct_abbatoirward_2g;Partially Constructed Ghouled Butcher;Partiellement construit Ghouled Butcher;Partiell Konstruiert Ghouled Butcher;;Parcialmente construida Ghouled Butcher;;;;;;;;;x
ct_ab_ph_ct_abbatoirward_2g_desc;A Ghouled Butcher is under construction here and will be completed in approximately 7 days.;Un Ghouled Butcher est en construction ici et sera termin dans environ 7 jours.;Ein Ghouled Butcher befindet sich hier im Aufbau und wird in ca. 7 Tagen abgeschlossen sein.;;A Ghouled Butcher est en construccin aqu y se completar en aproximadamente 7 das.;;;;;;;;;x
ct_ab_ph_ct_abbatoirward_3;Partially Constructed Controlled Abbatoir Ward;Partiellement construit Controlled Abbatoir Ward;Partiell Konstruiert Controlled Abbatoir Ward;;Parcialmente construida Controlled Abbatoir Ward;;;;;;;;;x
ct_ab_ph_ct_abbatoirward_3_desc;A Controlled Abbatoir Ward is under construction here and will be completed in approximately 356 days.;Un Controlled Abbatoir Ward est en construction ici et sera termin dans environ 356 jours.;Ein Controlled Abbatoir Ward befindet sich hier im Aufbau und wird in ca. 356 Tagen abgeschlossen sein.;;A Controlled Abbatoir Ward est en construccin aqu y se completar en aproximadamente 356 das.;;;;;;;;;x
ct_ab_ph_ct_abbatoirward_3c;Partially Constructed Conditioned Butcher's Guild;Partiellement construit Conditioned Butcher's Guild;Partiell Konstruiert Conditioned Butcher's Guild;;Parcialmente construida Conditioned Butcher's Guild;;;;;;;;;x
ct_ab_ph_ct_abbatoirward_3c_desc;A Conditioned Butcher's Guild is under construction here and will be completed in approximately 180 days.;Un Conditioned Butcher's Guild est en construction ici et sera termin dans environ 180 jours.;Ein Conditioned Butcher's Guild befindet sich hier im Aufbau und wird in ca. 180 Tagen abgeschlossen sein.;;A Conditioned Butcher's Guild est en construccin aqu y se completar en aproximadamente 180 das.;;;;;;;;;x
ct_ab_ph_ct_asylum_1;Partially Constructed Bribed Inmate;Partiellement construit Bribed Inmate;Partiell Konstruiert Bribed Inmate;;Parcialmente construida Bribed Inmate;;;;;;;;;x
